source_vtd_geoid,source_vtd_code,source_countyfp00,source_vtd_name,precinct_key,target_id,target_name,COUNTYFP,nhgis_weight,source_blocks,target_blocks,allocated_pop2000,allocated_housing2000,crosswalk_method,source_block_weight_sum,source_block_weight_avg,source_vtd_pop2000,source_vtd_housing2000,population_weight,housing_weight,block_weight,effective_weight,crosswalk_basis
16001001001,001001,001,Voting District 001001,16001001001,16001,Ada,001,58.0,58,47,1601.0,934.0,nhgis_block_weight_chain_2000_2010_2020,58.0,1.0,1601.0,934.0,1.0,1.0,1.0,1.0,population
16001001002,001002,001,Voting District 001002,16001001002,16001,Ada,001,16.0,16,21,1709.0000000128,835.0000000033999,nhgis_block_weight_chain_2000_2010_2020,16.0,1.0,1709.0000000128,835.0000000033999,1.0,1.0,1.0,1.0,population
16001001003,001003,001,Voting District 001003,16001001003,16001,Ada,001,35.0,35,31,1554.0,771.0,nhgis_block_weight_chain_2000_2010_2020,35.0,1.0,1554.0,771.0,1.0,1.0,1.0,1.0,population
16001001004,001004,001,Voting District 001004,16001001004,16001,Ada,001,40.0,40,37,1530.0,728.0,nhgis_block_weight_chain_2000_2010_2020,40.0,1.0,1530.0,728.0,1.0,1.0,1.0,1.0,population
16001001005,001005,001,Voting District 001005,16001001005,16001,Ada,001,156.0,156,151,1585.0,1069.0,nhgis_block_weight_chain_2000_2010_2020,156.0,1.0,1585.0,1069.0,1.0,1.0,1.0,1.0,population
16001001006,001006,001,Voting District 001006,16001001006,16001,Ada,001,31.9999999999984,32,22,1296.9999999999968,501.9999999999984,nhgis_block_weight_chain_2000_2010_2020,31.9999999999984,0.99999999999995,1296.9999999999968,501.9999999999984,1.0,1.0,1.0,1.0,population
16001001007,001007,001,Voting District 001007,16001001007,16001,Ada,001,33.0,33,25,1576.0,1020.0,nhgis_block_weight_chain_2000_2010_2020,33.0,1.0,1576.0,1020.0,1.0,1.0,1.0,1.0,population
16001001008,001008,001,Voting District 001008,16001001008,16001,Ada,001,38.999999999999964,39,44,1822.000000001056,954.0000000019354,nhgis_block_weight_chain_2000_2010_2020,38.999999999999964,0.9999999999999991,1822.000000001056,954.0000000019354,1.0,1.0,1.0,1.0,population
16001001009,001009,001,Voting District 001009,16001001009,16001,Ada,001,26.999999999899998,27,28,2157.9999999666,801.9999999873,nhgis_block_weight_chain_2000_2010_2020,26.999999999899998,0.9999999999962962,2157.9999999666,801.9999999873,1.0,1.0,1.0,1.0,population
16001001010,001010,001,Voting District 001010,16001001010,16001,Ada,001,21.0,21,18,1319.0,517.0,nhgis_block_weight_chain_2000_2010_2020,21.0,1.0,1319.0,517.0,1.0,1.0,1.0,1.0,population
16001001011,001011,001,Voting District 001011,16001001011,16001,Ada,001,58.0,58,56,1161.0,798.0,nhgis_block_weight_chain_2000_2010_2020,58.0,1.0,1161.0,798.0,1.0,1.0,1.0,1.0,population
16001001012,001012,001,Voting District 001012,16001001012,16001,Ada,001,70.00000000075164,70,58,2119.0000000583823,792.0000000232955,nhgis_block_weight_chain_2000_2010_2020,70.00000000075164,1.0000000000107376,2119.0000000583823,792.0000000232955,1.0,1.0,1.0,1.0,population
16001001013,001013,001,Voting District 001013,16001001013,16001,Ada,001,34.9999999999,35,37,1533.9999999771,674.9999999882,nhgis_block_weight_chain_2000_2010_2020,34.9999999999,0.9999999999971428,1533.9999999771,674.9999999882,1.0,1.0,1.0,1.0,population
16001001014,001014,001,Voting District 001014,16001001014,16001,Ada,001,40.9999999999,41,44,3009.9999999903002,1293.9999999955,nhgis_block_weight_chain_2000_2010_2020,40.9999999999,0.999999999997561,3009.9999999903002,1293.9999999955,1.0,1.0,1.0,1.0,population
16001001015,001015,001,Voting District 001015,16001001015,16001,Ada,001,34.0,34,25,2926.0,1178.0,nhgis_block_weight_chain_2000_2010_2020,34.0,1.0,2926.0,1178.0,1.0,1.0,1.0,1.0,population
