district,name,total_population,cvap_total,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,State House District 1,,45518,93.42,0.31,2.84,0.47,0.56,0.07,2.32
2,State House District 2,,42951,90.1,0.42,4.25,2.02,0.23,0.16,2.8
3,State House District 3,,44172,93.04,0.24,3.58,0.14,0.7,0.02,2.2
4,State House District 4,,41165,90.31,0.74,4.53,0.53,0.79,0.04,3.3
5,State House District 5,,42539,89.93,0.14,5.72,1.4,0.59,0.0,2.1
6,State House District 6,,43164,87.88,0.89,4.09,2.7,1.05,0.05,3.32
7,State House District 7,,43346,91.45,0.13,3.39,1.31,0.67,0.04,3.02
8,State House District 8,,41501,85.45,1.45,7.92,0.4,1.57,0.23,2.98
9,State House District 9,,39449,82.31,0.19,13.32,0.24,1.22,0.06,2.82
10,State House District 10,,44681,84.86,0.74,10.74,0.41,0.92,0.11,2.35
11,State House District 11,,34272,65.06,0.26,29.09,0.55,1.32,0.3,3.17
12,State House District 12,,42505,77.33,0.59,19.06,0.08,0.71,0.1,2.07
13,State House District 13,,40463,77.87,1.06,17.45,0.26,0.74,0.07,2.56
14,State House District 14,,43091,90.26,0.15,5.52,0.37,1.12,0.15,2.36
15,State House District 15,,39167,86.94,0.51,6.46,0.19,2.8,0.15,2.96
16,State House District 16,,41023,85.76,1.13,9.1,0.21,1.06,0.12,2.6
17,State House District 17,,40301,83.59,1.54,9.97,0.21,1.88,0.24,2.54
18,State House District 18,,42544,84.7,0.89,7.47,0.71,3.42,0.44,2.1
19,State House District 19,,42822,89.47,0.71,5.06,0.29,1.54,0.01,3.05
20,State House District 20,,41315,85.88,0.89,8.47,0.16,2.58,0.12,1.94
21,State House District 21,,44031,85.76,1.44,8.5,0.22,1.24,0.19,2.63
22,State House District 22,,39508,86.46,0.68,7.77,0.23,2.28,0.1,2.56
23,State House District 23,,40665,85.91,0.45,9.39,0.85,0.69,0.29,2.59
24,State House District 24,,36263,83.47,0.11,13.24,0.48,0.19,0.1,2.42
25,State House District 25,,40150,83.58,0.52,12.26,0.32,1.52,0.13,1.67
26,State House District 26,,36478,81.06,0.33,15.94,0.22,0.38,0.01,2.06
27,State House District 27,,34090,74.65,0.29,21.99,0.99,0.26,0.01,1.82
28,State House District 28,,37377,84.62,0.27,9.91,2.39,0.39,0.17,2.18
29,State House District 29,,40030,85.45,1.15,8.22,1.41,0.72,0.31,2.82
30,State House District 30,,35648,80.84,0.14,11.69,4.67,0.38,0.04,2.24
31,State House District 31,,39252,90.09,0.11,7.15,0.32,0.14,0.03,2.16
32,State House District 32,,35567,85.97,0.2,10.46,0.2,1.32,0.13,1.58
33,State House District 33,,37188,84.14,0.68,11.11,0.91,0.45,0.05,2.78
34,State House District 34,,41269,87.79,0.79,7.85,0.32,0.73,0.35,2.16
35,State House District 35,,37363,92.44,0.16,5.42,0.24,0.14,0.0,1.58
